106	33	16	5	1	1	1	1	1	
107	32	16	7	0	1	1	1	1	
108	31	15	6	0	1	1	1	1	
109	31	15	7	1	1	1	1	1	
110	30	15	9	1	1	1	1	1	
111	29	15	8	0	1	1	1	1	
112	28	15	10	1	1	1	1	1	
113	27	15	14	1	1	1	1	1	
114	26	15	8	0	1	1	1	1	
115	26	15	7	1	1	1	1	1	
116	25	14	20	0	1	1	1	1	
117	26	14	19	1	1	1	1	1	
118	26	14	10	1	1	1	1	1	
119	24	13	9	1	1	1	1	1	
120	22	13	9	1	1	1	1	1	
121	23	14	8	0	1	1	1	1	
122	23	14	6	1	2	1	1	1	
123	21	12	5	0	1	1	1	1	
124	21	13	4	1	1	1	1	1	
125	20	13	4	1	1	1	1	1	
126	20	14	12	1	1	1	1	1	
127	19	12	11	1	1	1	1	1	
128	18	12	13	0	1	1	1	2	
129	18	12	5	0	1	1	1	2	
130	18	12	13	1	1	2	1	1	
131	18	12	13	1	1	1	1	1	
132	17	12	11	1	1	1	1	1	
133	17	12	9	1	1	1	1	1	
134	17	13	7	0	1	1	1	1	
135	17	11	12	1	1	1	1	1	
136	15	10	12	1	1	1	1	1	
137	15	10	12	0	1	1	1	1	
138	15	11	6	0	1	1	1	1	
139	15	11	3	1	1	1	1	1	
140	15	11	5	1	1	1	1	1	
141	14	10	5	1	1	1	1	2	
142	14	11	5	0	1	1	1	2	
143	13	10	9	1	1	1	1	1	
144	13	9	10	0	1	1	1	1	
145	13	9	6	0	1	1	1	1	
146	12	9	7	1	1	1	1	1	
147	12	9	14	1	1	1	1	1	
148	12	9	11	1	1	1	1	1	
149	13	9	14	1	1	1	1	1	
150	12	9	13	0	1	1	1	1	
151	12	9	13	1	1	1	1	1	
152	11	8	12	1	1	1	1	1	
153	11	8	17	1	1	1	1	1	
154	11	9	10	0	1	1	1	1	
155	11	9	8	0	0	1	1	1	
156	11	9	4	0	1	0	1	1	
157	11	8	8	0	1	1	1	1	
158	11	8	12	1	1	1	1	1	
159	10	8	8	1	0	1	1	1	
160	10	8	8	0	1	1	1	1	
161	10	8	12	0	1	1	1	2	
162	10	7	11	0	1	0	1	1	
163	10	7	10	1	1	1	1	1	
164	10	7	8	1	1	0	1	1	
165	9	7	13	1	1	1	1	1	
166	10	7	11	1	0	1	1	1	
167	9	7	13	1	1	1	1	1	
168	9	7	7	1	1	1	1	1	
169	9	7	3	0	1	1	1	1	
170	9	7	7	0	0	1	1	1	
171	9	6	11	1	1	0	0	1	
172	8	6	6	1	1	0	1	1	
173	8	6	5	0	1	1	1	1	
174	9	6	7	1	1	1	1	1	
175	8	6	6	1	1	1	1	1	
176	8	6	7	1	0	1	1	1	
177	7	5	7	1	1	1	0	1	
178	8	5	6	1	1	1	1	1	
179	7	6	7	1	0	1	1	1	
180	7	6	11	0	1	1	1	1	
181	7	6	13	1	0	1	1	1	
182	8	6	11	1	0	0	1	1	
183	8	7	5	1	1	0	0	1	
184	7	6	8	1	1	0	1	0	
185	7	5	5	1	1	0	0	0	
186	7	6	9	0	1	1	1	1	
187	7	6	15	0	0	0	1	1	
188	7	5	10	1	0	1	1	1	
189	7	5	6	1	1	1	0	1	
190	7	5	12	1	0	1	1	1	
191	8	5	16	1	0	1	1	1	
192	7	5	12	0	0	1	0	1	
193	6	5	5	1	0	0	0	1	
194	7	5	10	1	0	1	0	1	
195	7	5	8	1	0	0	0	1	
196	6	5	4	1	0	0	1	1	
197	6	5	7	1	0	0	0	1	
198	6	5	8	1	0	0	0	1	
199	5	5	17	1	0	0	0	1	
200	5	4	7	1	0	1	0	1	
201	6	5	15	1	1	1	0	0	
202	6	4	9	1	1	1	0	1	
203	6	4	8	1	1	0	0	0	
204	6	4	10	1	0	1	0	0	
205	5	4	10	1	0	1	0	1	
206	5	4	16	1	0	0	0	1	
207	5	4	15	1	0	0	0	1	
208	6	4	10	1	0	0	0	1	
209	6	4	11	1	0	1	0	0	
210	6	4	7	1	1	0	0	0	
211	5	4	7	1	1	0	0	1	
212	4	3	11	1	1	0	1	1	
213	5	4	9	1	1	0	1	0	
214	4	4	4	1	1	0	0	0	
215	5	3	8	1	1	0	0	1	
216	5	4	10	1	1	1	0	1	
217	5	4	10	1	1	1	0	0	
218	4	4	15	1	1	1	1	0	
219	5	4	12	1	1	1	1	2	
220	5	4	7	1	1	0	1	1	
